Day,Date,Number of 1100-litre bins filled,Time bin 1 spot check weight recorded,Time bin 2 spot check weight recorded,Time bin 3 spot check weight recorded,Time bin 4 spot check weight recorded,Time bin 5 spot check weight recorded,Daily Estimated Net Weight (kg),column 9,column 10,column 11
Friday,01/01/2016 12:00:00 AM,3,9:10,10:30,16:00,,,180.939,,,
Saturday,01/02/2016 12:00:00 AM,1,8:20,,,,,60.313,,,
Sunday,01/03/2016 12:00:00 AM,2,10:00,15:30,,,,120.626,,,
Monday,01/04/2016 12:00:00 AM,4,6:20,12:10,16:30,17:00,,241.252,,,
Tuesday,01/05/2016 12:00:00 AM,3,6:10,14:15,18:00,,,180.939,,,
Wednesday,01/06/2016 12:00:00 AM,4,6:00,12:00,16:10,18:00,,241.252,,,
Thursday,01/07/2016 12:00:00 AM,3,6:00,13:15,17:30,,,180.939,,,
Friday,01/08/2016 12:00:00 AM,3,6:15,13:20,17:05,,,180.939,,,
Saturday,01/09/2016 12:00:00 AM,2,8:30,15:00,,,,120.626,,,
Sunday,01/10/2016 12:00:00 AM,2,9:30,15:30,,,,120.626,,,
Monday,01/11/2016 12:00:00 AM,4,6:20,13:15,15:15,18:00,,241.252,,,
Tuesday,01/12/2016 12:00:00 AM,3,6:15,15:00,18:20,,,180.939,,,
Wednesday,01/13/2016 12:00:00 AM,3,6:05,13:15,18:20,,,180.939,,,
Thursday,01/14/2016 12:00:00 AM,4,6:20,13:25,13:45,18:00,,241.252,,,
Friday,01/15/2016 12:00:00 AM,3,6:20,13:30,18:00,,,180.939,,,
Saturday,01/16/2016 12:00:00 AM,2,14:30,15:30,,,,120.626,,,
Sunday,01/17/2016 12:00:00 AM,3,8:45,13:30,17:00,,,180.939,,,
Monday,01/18/2016 12:00:00 AM,3,6:10,12:30,18:00,,,180.939,,,
Tuesday,01/19/2016 12:00:00 AM,4,6:00,11:45,17:15,18:20,,241.252,,,
Wednesday,01/20/2016 12:00:00 AM,3,6:00,15:45,18:15,,,180.939,,,
Thursday,01/21/2016 12:00:00 AM,4,6:00,13:00,14:45,17:30,,241.252,,,
Friday,01/22/2016 12:00:00 AM,2,6:00,16:15,,,,120.626,,,
Saturday,01/23/2016 12:00:00 AM,2,8:30,14:00,,,,120.626,,,
Sunday,01/24/2016 12:00:00 AM,4,8:15,8:20,14:00,16:30,,241.252,,,
Monday,01/25/2016 12:00:00 AM,5,6:20,13:00,17:00,17:00,18:20,301.565,,,
Tuesday,01/26/2016 12:00:00 AM,3,8:30,13:30,17:00,,,180.939,,,
Wednesday,01/27/2016 12:00:00 AM,3,8:00,14:45,18:15,,,180.939,,,
Thursday,01/28/2016 12:00:00 AM,4,6:00,7:00,14:00,18:20,,241.252,,,
Friday,01/29/2016 12:00:00 AM,2,9:30,14:40,,,,120.626,,,
Saturday,01/30/2016 12:00:00 AM,3,8:13,14:00,17:00,,,180.939,,,
Sunday,01/31/2016 12:00:00 AM,3,13:00,16:30,8:15,,,180.939,,,
Monday,02/01/2016 12:00:00 AM,2,7:15,15:20,,,,120.626,,,
Tuesday,02/02/2016 12:00:00 AM,4,6:30,11:25,14:20,16:20,,241.252,,,
Wednesday,02/03/2016 12:00:00 AM,3,7:30,14:00,17:55,,,180.939,,,
Thursday,02/04/2016 12:00:00 AM,3,7:00,13:15,17:45,,,180.939,,,
Friday,02/05/2016 12:00:00 AM,3,7:00,12:30,17:30,,,180.939,,,
Saturday,02/06/2016 12:00:00 AM,2,8:30,8:50,,,,120.626,,,
Sunday,02/07/2016 12:00:00 AM,2,12:30,14:20,,,,120.626,,,
Monday,02/08/2016 12:00:00 AM,4,6:05,11:35,12:50,17:30,,241.252,,,
Tuesday,02/09/2016 12:00:00 AM,3,6:00,13:20,18:00,,,180.939,,,
Wednesday,02/10/2016 12:00:00 AM,4,6:25,13:25,17:20,17:25,,241.252,,,
Thursday,02/11/2016 12:00:00 AM,3,6:50,13:00,17:50,,,180.939,,,
Friday,02/12/2016 12:00:00 AM,3,6:30,11:15,17:15,,,180.939,,,
Saturday,02/13/2016 12:00:00 AM,2,8:30,15:10,,,,120.626,,,
Sunday,02/14/2016 12:00:00 AM,1,14:00,,,,,60.313,,,
Monday,02/15/2016 12:00:00 AM,3,6:30,13:50,17:20,,,180.939,,,
Tuesday,02/16/2016 12:00:00 AM,3,6:25,12:00,17:00,,,180.939,,,
Wednesday,02/17/2016 12:00:00 AM,3,7:15,14:00,18:00,,,180.939,,,
Thursday,02/18/2016 12:00:00 AM,4,6:00,6:15,12:00,17:40,,241.252,,,
Friday,02/19/2016 12:00:00 AM,3,7:00,14:45,17:30,,,180.939,,,
Saturday,02/20/2016 12:00:00 AM,3,8:30,14:00,16:45,,,180.939,,,
Sunday,02/21/2016 12:00:00 AM,4,8:30,9:00,14:30,16:00,,241.252,,,
Monday,02/22/2016 12:00:00 AM,3,6:55,12:30,17:30,,,180.939,,,
Tuesday,02/23/2016 12:00:00 AM,3,6:15,11:20,17:45,,,180.939,,,
Wednesday,02/24/2016 12:00:00 AM,4,6:15,13:00,16:45,18:10,,241.252,,,
Thursday,02/25/2016 12:00:00 AM,3,6:20,13:00,17:55,,,180.939,,,
Friday,02/26/2016 12:00:00 AM,2,6:00,13:30,,,,120.626,,,
Saturday,02/27/2016 12:00:00 AM,2,8:45,13:30,,,,120.626,,,
Sunday,02/28/2016 12:00:00 AM,1,13:45,,,,,60.313,,,
Monday,02/29/2016 12:00:00 AM,3,6:20,12:05,18:00,,,180.939,,,
Tuesday,03/01/2016 12:00:00 AM,3,6:00,11:00,18:15,,,180.939,,,
Wednesday,03/02/2016 12:00:00 AM,3,7:45,8:00,12:20,,,180.939,,,
Thursday,03/03/2016 12:00:00 AM,3,6:00,12:00,16:50,,,180.939,,,
Friday,03/04/2016 12:00:00 AM,3,6:00,12:10,17:30,,,180.939,,,
Saturday,03/05/2016 12:00:00 AM,4,8:15,8:30,14:50,16:25,,241.252,,,
Sunday,03/06/2016 12:00:00 AM,2,8:30,15:30,,,,120.626,,,
Monday,03/07/2016 12:00:00 AM,3,6:15,12:50,18:00,,,180.939,,,
Tuesday,03/08/2016 12:00:00 AM,4,6:10,12:00,18:05,18:20,,241.252,,,
Wednesday,03/09/2016 12:00:00 AM,3,6:30,13:00,17:55,,,180.939,,,
Thursday,03/10/2016 12:00:00 AM,3,6:00,10:20,16:25,,,180.939,,,
Friday,03/11/2016 12:00:00 AM,3,6:00,11:20,15:00,,,180.939,,,
