Day,Date,Gross Weight: Bin 1 (kg),Gross Weight: Bin 2 (kg),Gross Weight: Bin 3 (kg),Gross Weight: Bin 4 (kg),Daily Estimated Net Weight (kg)
Friday,01/01/2016 12:00:00 AM,43,,,,34
Saturday,01/02/2016 12:00:00 AM,44.7,,,,35.7
Sunday,01/03/2016 12:00:00 AM,32.6,,,,23.6
Monday,01/04/2016 12:00:00 AM,77.3,51.3,67.9,,169.5
Tuesday,01/05/2016 12:00:00 AM,41.8,47.5,39.7,,102
Wednesday,01/06/2016 12:00:00 AM,60.7,48.4,40.9,,123
Thursday,01/07/2016 12:00:00 AM,61.3,74.5,,,117.8
Friday,01/08/2016 12:00:00 AM,65.1,68.2,,,115.3
Saturday,01/09/2016 12:00:00 AM,47,43.8,,,72.8
Sunday,01/10/2016 12:00:00 AM,81.3,,,,72.3
Monday,01/11/2016 12:00:00 AM,61,66.2,48,,148.2
Tuesday,01/12/2016 12:00:00 AM,34.3,55.2,32.9,,95.4
Wednesday,01/13/2016 12:00:00 AM,49.9,56.9,35,,114.8
Thursday,01/14/2016 12:00:00 AM,58.9,,,,49.9
Friday,01/15/2016 12:00:00 AM,51.8,59.2,54.3,,138.3
Saturday,01/16/2016 12:00:00 AM,44.1,70,25.5,,112.6
Sunday,01/17/2016 12:00:00 AM,42.4,,,,33.4
Monday,01/18/2016 12:00:00 AM,73.7,59.4,27.3,66,190.4
Tuesday,01/19/2016 12:00:00 AM,70.1,44.7,,,96.8
Wednesday,01/20/2016 12:00:00 AM,84,55.8,,,121.8
Thursday,01/21/2016 12:00:00 AM,54.6,38.8,54.2,,120.6
Friday,01/22/2016 12:00:00 AM,48.5,55.4,32.5,,109.4
Saturday,01/23/2016 12:00:00 AM,64.6,58.6,,,105.2
Sunday,01/24/2016 12:00:00 AM,,,,,
Monday,01/25/2016 12:00:00 AM,43.7,46.5,62,,125.2
Tuesday,01/26/2016 12:00:00 AM,36,45.5,16.4,,70.9
Wednesday,01/27/2016 12:00:00 AM,64.2,68.8,,,115
Thursday,01/28/2016 12:00:00 AM,39.3,44.1,54.5,,110.9
Friday,01/29/2016 12:00:00 AM,48.7,66.9,,,97.6
Saturday,01/30/2016 12:00:00 AM,68.4,66.1,,,116.5
Sunday,01/31/2016 12:00:00 AM,40.9,47.2,52.4,,113.5
Monday,02/01/2016 12:00:00 AM,48.8,57.9,,,88.7
Tuesday,02/02/2016 12:00:00 AM,55,70.4,,,107.4
